label,text
ham,shall get pouch
ham,yeah usual guys town therere definitely people around know
ham,wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
ham,onum ela pa normal
spam,missed call alert numbers called left message 07008009200
ham,anyway many good evenings u
spam,know someone know fancies call 09058097218 find pobox 6 ls15hb 150p
spam,urgent call 09066612661 landline complementary 4 tenerife holiday 10000 cash await collection sae tcs po box 3 wa14 2px 150ppm 18 sender hol offer
spam,thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832
ham,hi wont b ard 4 christmas enjoy n merry xmas
ham,mmmmm sooooo good wake words morning love mmmm fuck love lion devouring kiss across sea
ham,funny fact nobody teaches volcanoes 2 erupt tsunamis 2 arise hurricanes 2 sway aroundn 1 teaches hw 2 choose wife natural disasters happens
ham,ive sent wife text buy shell tell relax go get wkend
ham,ive reached home finally
ham,becoz ltgt jan whn al post ofice holiday cn go fr post oficegot duffer
ham,reading gud habit nan bari hudgi yorge pataistha ertini kano
ham,wrong phone phone answer one assume people dont well
ham,im arestaurant eating squid 1030 wan na dosomething late
ham,happen tell truth
ham,got lousy sleep kept waking every 2 hours see cat wanted come worry cold
ham,thanks picking trash
ham,played smash bros ltgt religiously
spam,double mins 1000 txts orange tariffs latest motorola sonyericsson nokia bluetooth free call mobileupd8 08000839402 call2optouthf8
ham,tired havent slept well past nights
ham,quite ok bit ex u better go eat smth else ill feel guilty
spam,urgent mobile number 2000 bonus caller prize 100603 2nd attempt reach call 09066368753 asap box 97n7qp 150ppm
ham,need details online job
ham,e msg jus u said thanks gift
ham,hamster dead hey tmr meet 1pm orchard mrt
ham,jay wants work first hows 4 sound
ham,hope things went well doctors reminds still need 2godid u c little thing left lounge
ham,call senthil hsbc
ham,white fudge oreos stores
spam,well done 4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tcs pobox334 stockport sk38xh cost150pm max10mins
ham,go walmart ill stay
spam,mobile number 5000 claim calls us back ring claims hot line 09050005321
ham,yo gon na still stock tomorrowtoday im trying get dubsack
ham,cramps stopped going back sleep
ham,got c lazy type forgot lect saw pouch like v nice
ham,hey really pretty late want go lesson first join im reaching tp mrt
ham,2 oz guy kinda flaky one friend interested picking ltgt worth tonight possible
ham,didnt get ur full msgsometext missing send
